Date,Country,Rate
3-Jan-00,Venezuela,0.6498
4-Jan-00,Venezuela,0.6503
5-Jan-00,Venezuela,0.6515
6-Jan-00,Venezuela,0.6503
7-Jan-00,Venezuela,0.6508
10-Jan-00,Venezuela,0.6518
11-Jan-00,Venezuela,0.6520
12-Jan-00,Venezuela,0.6526
13-Jan-00,Venezuela,0.6533
14-Jan-00,Venezuela,0.6513
17-Jan-00,Venezuela,ND
18-Jan-00,Venezuela,0.6534
19-Jan-00,Venezuela,0.6525
20-Jan-00,Venezuela,0.6535
21-Jan-00,Venezuela,0.6535
24-Jan-00,Venezuela,0.6540
25-Jan-00,Venezuela,0.6551
26-Jan-00,Venezuela,0.6550
27-Jan-00,Venezuela,0.6550
28-Jan-00,Venezuela,0.6550
31-Jan-00,Venezuela,0.6558
1-Feb-00,Venezuela,0.6563
2-Feb-00,Venezuela,0.6571
3-Feb-00,Venezuela,0.6570
4-Feb-00,Venezuela,0.6573
7-Feb-00,Venezuela,0.6573
8-Feb-00,Venezuela,0.6578
9-Feb-00,Venezuela,0.6585
10-Feb-00,Venezuela,0.6588
11-Feb-00,Venezuela,0.6583
14-Feb-00,Venezuela,0.6585
15-Feb-00,Venezuela,0.6593
16-Feb-00,Venezuela,0.6595
17-Feb-00,Venezuela,0.6614
18-Feb-00,Venezuela,0.6610
21-Feb-00,Venezuela,ND
22-Feb-00,Venezuela,0.6614
23-Feb-00,Venezuela,0.6613
24-Feb-00,Venezuela,0.6621
25-Feb-00,Venezuela,0.6618
28-Feb-00,Venezuela,0.6622
29-Feb-00,Venezuela,0.6625
1-Mar-00,Venezuela,0.6630
2-Mar-00,Venezuela,0.6638
3-Mar-00,Venezuela,0.6641
6-Mar-00,Venezuela,0.6643
7-Mar-00,Venezuela,0.6643
8-Mar-00,Venezuela,0.6645
9-Mar-00,Venezuela,0.6653
10-Mar-00,Venezuela,0.6655
13-Mar-00,Venezuela,0.6653
14-Mar-00,Venezuela,0.6659
15-Mar-00,Venezuela,0.6665
16-Mar-00,Venezuela,0.6673
17-Mar-00,Venezuela,0.6670
20-Mar-00,Venezuela,0.6673
21-Mar-00,Venezuela,0.6677
22-Mar-00,Venezuela,0.6680
23-Mar-00,Venezuela,0.6688
24-Mar-00,Venezuela,0.6690
27-Mar-00,Venezuela,0.6695
28-Mar-00,Venezuela,0.6693
29-Mar-00,Venezuela,0.6700
30-Mar-00,Venezuela,0.6710
31-Mar-00,Venezuela,0.6700
3-Apr-00,Venezuela,0.6705
4-Apr-00,Venezuela,0.6704
5-Apr-00,Venezuela,0.6713
6-Apr-00,Venezuela,0.6719
7-Apr-00,Venezuela,0.6710
10-Apr-00,Venezuela,0.6708
11-Apr-00,Venezuela,0.6728
12-Apr-00,Venezuela,0.6725
13-Apr-00,Venezuela,0.6728
14-Apr-00,Venezuela,0.6728
17-Apr-00,Venezuela,0.6726
18-Apr-00,Venezuela,0.6728
19-Apr-00,Venezuela,0.6728
20-Apr-00,Venezuela,0.6728
21-Apr-00,Venezuela,0.6728
24-Apr-00,Venezuela,0.6735
25-Apr-00,Venezuela,0.6740
26-Apr-00,Venezuela,0.6752
27-Apr-00,Venezuela,0.6755
28-Apr-00,Venezuela,0.6763
1-May-00,Venezuela,0.6758
2-May-00,Venezuela,0.6763
3-May-00,Venezuela,0.6765
4-May-00,Venezuela,0.6769
5-May-00,Venezuela,0.6776
8-May-00,Venezuela,0.6779
9-May-00,Venezuela,0.6780
10-May-00,Venezuela,0.6785
11-May-00,Venezuela,0.6793
12-May-00,Venezuela,0.6784
15-May-00,Venezuela,0.6799
16-May-00,Venezuela,0.6803
17-May-00,Venezuela,0.6810
18-May-00,Venezuela,0.6814
19-May-00,Venezuela,0.6821
22-May-00,Venezuela,0.6820
23-May-00,Venezuela,0.6820
24-May-00,Venezuela,0.6830
25-May-00,Venezuela,0.6839
26-May-00,Venezuela,0.6842
29-May-00,Venezuela,ND
30-May-00,Venezuela,0.6835
31-May-00,Venezuela,0.6818
1-Jun-00,Venezuela,0.6818
2-Jun-00,Venezuela,0.6780
5-Jun-00,Venezuela,0.6793
6-Jun-00,Venezuela,0.6798
7-Jun-00,Venezuela,0.6790
8-Jun-00,Venezuela,0.6803
9-Jun-00,Venezuela,0.6803
12-Jun-00,Venezuela,0.6807
13-Jun-00,Venezuela,0.6808
14-Jun-00,Venezuela,0.6815
15-Jun-00,Venezuela,0.6818
16-Jun-00,Venezuela,0.6820
19-Jun-00,Venezuela,0.6823
20-Jun-00,Venezuela,0.6823
21-Jun-00,Venezuela,0.6803
22-Jun-00,Venezuela,0.6803
23-Jun-00,Venezuela,0.6814
26-Jun-00,Venezuela,0.6813
27-Jun-00,Venezuela,0.6815
28-Jun-00,Venezuela,0.6818
29-Jun-00,Venezuela,0.6825
30-Jun-00,Venezuela,0.6825
3-Jul-00,Venezuela,0.6825
4-Jul-00,Venezuela,ND
5-Jul-00,Venezuela,0.6830
6-Jul-00,Venezuela,0.6833
7-Jul-00,Venezuela,0.6840
10-Jul-00,Venezuela,0.6840
11-Jul-00,Venezuela,0.6848
12-Jul-00,Venezuela,0.6850
13-Jul-00,Venezuela,0.6855
14-Jul-00,Venezuela,0.6855
17-Jul-00,Venezuela,0.6862
18-Jul-00,Venezuela,0.6865
19-Jul-00,Venezuela,0.6865
20-Jul-00,Venezuela,0.6855
21-Jul-00,Venezuela,0.6874
24-Jul-00,Venezuela,0.6870
25-Jul-00,Venezuela,0.6879
26-Jul-00,Venezuela,0.6881
27-Jul-00,Venezuela,0.6887
28-Jul-00,Venezuela,0.6880
31-Jul-00,Venezuela,0.6880
1-Aug-00,Venezuela,0.6880
2-Aug-00,Venezuela,0.6880
3-Aug-00,Venezuela,0.6890
4-Aug-00,Venezuela,0.6888
